exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
rtc_controller_observe_rep05,RTC-CONTROLLER-OBSERVE,0,"Phase A (Read Sensitive)",0.7719,100000,129558.5142,1.2654,543.5796,0.0000,543.5796,430.7354,0.0000,65.3923,29
rtc_controller_observe_rep05,RTC-CONTROLLER-OBSERVE,0,"Phase B (Write Burst)",10.5201,100000,9505.6284,25.5831,7301.6507,0.0000,7301.6507,6905.7448,0.0000,261.4378,32
rtc_controller_observe_rep05,RTC-CONTROLLER-OBSERVE,0,"Phase B-Inject (20% Window)",2.1040,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_observe_rep05,RTC-CONTROLLER-OBSERVE,0,"Phase B-PostBurst (80% Window)",8.4161,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_observe_rep05,RTC-CONTROLLER-OBSERVE,0,"Phase C (Read Recovery)",17.8252,100000,5610.0445,18.2198,10048.5932,0.0000,10048.5932,9642.9636,0.0000,238.8680,38
rtc_native_t512_rep05,RTC-NATIVE-T512,512,"Phase A (Read Sensitive)",0.7134,100000,140180.4229,1.3568,389.7530,0.0000,389.7530,185.0838,0.0000,69.6458,29
rtc_native_t512_rep05,RTC-NATIVE-T512,512,"Phase B (Write Burst)",1.1241,100000,88963.5998,2.9856,644.0912,0.0000,644.0912,349.9028,0.0000,164.7563,32
rtc_native_t512_rep05,RTC-NATIVE-T512,512,"Phase B-Inject (20% Window)",0.2248,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep05,RTC-NATIVE-T512,512,"Phase B-PostBurst (80% Window)",0.8992,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep05,RTC-NATIVE-T512,512,"Phase C (Read Recovery)",0.9872,100000,101292.1393,2.2829,574.7430,0.0000,574.7430,216.6654,0.0000,111.6593,38
rtc_controller_active_rep05,RTC-CONTROLLER-ACTIVE,0,"Phase A (Read Sensitive)",0.8572,100000,116663.9121,1.4518,556.2412,0.0000,556.2412,453.5017,0.0000,76.6897,29
rtc_controller_active_rep05,RTC-CONTROLLER-ACTIVE,0,"Phase B (Write Burst)",3.4606,100000,28896.8547,9.1844,2750.8929,0.0000,2750.8929,2306.1882,0.0000,234.4229,32
rtc_controller_active_rep05,RTC-CONTROLLER-ACTIVE,0,"Phase B-Inject (20% Window)",0.6921,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep05,RTC-CONTROLLER-ACTIVE,0,"Phase B-PostBurst (80% Window)",2.7685,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep05,RTC-CONTROLLER-ACTIVE,0,"Phase C (Read Recovery)",3.9668,100000,25209.2061,6.3948,2781.0611,0.0000,2781.0611,2317.3946,0.0000,220.9075,38
