elapsed_sec,event_type,job_id,reason,input_level,output_level,sst_path,num_range_deletions,data_size,num_entries,dropped_records
27.28,flush,134,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000181.sst,0,129293529,123813,0
27.70,flush,139,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000185.sst,0,64538672,61802,0
28.06,flush,142,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000188.sst,0,64854166,62104,0
29.05,flush,144,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000190.sst,0,64065641,61348,0
29.40,compaction,137,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000183.sst,0,324559953,308396,1377
29.41,flush,148,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000193.sst,0,63310165,60625,0
30.00,flush,153,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000197.sst,0,64014041,61299,0
30.32,flush,156,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000199.sst,0,64646411,61905,0
30.94,flush,159,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000202.sst,0,62002527,59373,0
30.95,compaction,87,kCompaction,0,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000132.sst,0,1834638679,1743422,76947
30.96,compaction,150,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000195.sst,0,257884952,245041,838
31.18,flush,162,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000204.sst,0,64576904,61838,0
31.85,flush,164,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000207.sst,0,64349319,61620,0
32.09,flush,165,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000210.sst,0,63472015,60780,0
32.62,flush,166,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000212.sst,0,64692932,61949,0
32.92,flush,168,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000216.sst,0,64744535,61999,0
33.84,flush,169,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000218.sst,0,64590869,61851,0
33.86,compaction,167,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000215.sst,0,258309919,245446,741
34.11,flush,171,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000221.sst,0,63832239,61125,0
34.53,flush,173,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000223.sst,0,64766207,62018,0
34.79,flush,176,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000227.sst,0,64070300,61353,0
