config,phase_id,phase_name,op_name,count,p50_us_mean,p50_us_median,p50_us_iqr,p95_us_mean,p99_us_mean,p99_us_median,p99_us_iqr,p999_us_mean,max_us_mean,avg_us_mean,ret_keys_total,avg_returned_keys,scan_cost_per_key_us
AMTV-T512,2,Phase C (Post-Injection Read-Dominant),Put,10000,13.990199999999998,13.684,0.3179999999999996,125.67460000000001,254.43040000000002,36.587,3.2280000000000015,274.7764,355.044,25.8371,0,0.0,0.0
AMTV-T512,2,Phase C (Post-Injection Read-Dominant),Scan-Intersect,5000,73.0272,69.838,8.363,170.13619999999997,223.1576,206.339,25.771000000000015,315.93080000000003,452.4076,87.09667999999999,250000,50.0,1.7419339999999999
AMTV-T512,2,Phase C (Post-Injection Read-Dominant),Scan-NonIntersect,5000,81.849,80.293,8.504999999999995,155.2002,200.29659999999998,182.441,14.227000000000004,279.5786,2810.3688,92.96712,500000,100.0,0.9296711999999999
Native-T0,0,Phase A (Baseline),GetLive,70000,6.183199999999999,6.088,0.21399999999999952,17.2332,24.6276,23.46,5.638999999999999,41.3624,176.0498,7.847481999999999,0,0.0,0.0
Native-T0,0,Phase A (Baseline),Put,20000,10.695,10.743,0.17700000000000138,19.923000000000002,26.5574,27.069,2.6119999999999983,74.40040000000002,265.7638,11.608419999999999,0,0.0,0.0
Native-T0,0,Phase A (Baseline),Scan-NonIntersect,5000,44.352000000000004,43.715,0.3200000000000003,67.5556,91.92500000000001,91.802,29.099000000000004,127.9102,176.9558,47.39134,500000,100.0,0.4739134
Native-T0,0,Phase A (Baseline),Scan-PlannedIntersect,5000,61.03060000000001,60.109,1.2759999999999962,127.018,173.53940000000003,158.892,50.498999999999995,241.0496,300.17900000000003,69.54012,500000,100.0,0.6954012
Native-T0,1,Phase B (Dynamic Injection),DeleteRange,20000,113.59579999999998,115.875,5.054000000000002,271.35,393.4154,397.983,18.416999999999973,1497.488,7728.661999999999,130.5166,0,0.0,0.0
Native-T0,1,Phase B (Dynamic Injection),GetLive,40000,4025.495999999999,4185.54,390.77999999999975,10501.3,11389.8,11368.5,86.39999999999964,13858.2,17486.82,4461.188,0,0.0,0.0
Native-T0,1,Phase B (Dynamic Injection),Put,30000,55.19499999999999,58.644,7.012999999999998,189.41060000000002,311.7498,318.892,22.983000000000004,530.9415999999999,7796.37,72.30078,0,0.0,0.0
Native-T0,1,Phase B (Dynamic Injection),Scan-Intersect,5000,4186.106,4299.25,451.6099999999997,10731.16,11634.66,11585.8,221.8000000000011,14734.86,17548.16,4646.052000000001,250000,50.0,92.92105999999998
Native-T0,1,Phase B (Dynamic Injection),Scan-NonIntersect,5000,4185.718,4301.57,329.3499999999999,10735.6,11600.5,11644.3,124.80000000000109,14257.579999999998,16948.5,4629.611999999999,500000,100.0,46.29612
Native-T0,2,Phase C (Post-Injection Read-Dominant),GetLive,80000,8.8042,8.668,0.3439999999999994,20.6712,28.0928,28.338,1.2810000000000024,43.827200000000005,1887.5094000000001,9.970051999999999,0,0.0,0.0
Native-T0,2,Phase C (Post-Injection Read-Dominant),Put,10000,14.409600000000001,14.755,0.625,33.807399999999994,47.0204,47.314,6.896000000000001,67.96619999999999,106.46459999999999,16.959480000000003,0,0.0,0.0
Native-T0,2,Phase C (Post-Injection Read-Dominant),Scan-Intersect,5000,70.5798,70.747,4.3430000000000035,145.83859999999999,178.5748,179.358,7.3440000000000225,233.129,292.51180000000005,81.21384,250000,50.0,1.624276
Native-T0,2,Phase C (Post-Injection Read-Dominant),Scan-NonIntersect,5000,65.9344,65.484,1.6940000000000026,144.2194,163.5714,163.047,3.382000000000005,208.57599999999996,261.6774,77.43794,500000,100.0,0.7743793999999999
Native-T512,0,Phase A (Baseline),GetLive,70000,6.195199999999999,6.136,0.11800000000000033,16.877000000000002,23.861,22.474,2.907,40.3584,140.3732,7.779146,0,0.0,0.0
Native-T512,0,Phase A (Baseline),Put,20000,10.8176,10.663,0.37700000000000067,19.791400000000003,26.240999999999996,26.692,1.7429999999999986,67.2894,298.2366,11.69286,0,0.0,0.0
Native-T512,0,Phase A (Baseline),Scan-NonIntersect,5000,43.9692,43.451,0.892000000000003,65.8958,89.41260000000001,84.889,16.474000000000004,115.832,215.5134,46.64842,500000,100.0,0.4664842
Native-T512,0,Phase A (Baseline),Scan-PlannedIntersect,5000,60.3986,60.098,0.7809999999999988,125.54839999999999,168.3556,160.792,37.982,224.0882,300.4754,68.54339999999999,500000,100.0,0.6854340000000001
Native-T512,1,Phase B (Dynamic Injection),DeleteRange,20000,98.05640000000001,99.486,3.492999999999995,1080.6951999999999,1945.0600000000002,2266.39,864.3500000000001,2811.6780000000003,4364.4800000000005,210.53360000000004,0,0.0,0.0
Native-T512,1,Phase B (Dynamic Injection),GetLive,40000,87.89180000000002,87.325,13.533000000000001,291.24899999999997,347.11699999999996,346.022,6.350999999999999,434.20320000000004,1124.392,113.51962,0,0.0,0.0
Native-T512,1,Phase B (Dynamic Injection),Put,30000,61.407999999999994,62.173,5.151000000000003,823.7364,1832.836,2035.56,871.98,2552.634,4356.33,156.3186,0,0.0,0.0
Native-T512,1,Phase B (Dynamic Injection),Scan-Intersect,5000,252.4758,261.912,39.123999999999995,553.0718,653.766,652.14,13.267000000000053,834.49,3813.817,278.9866,250000,50.0,5.579734
Native-T512,1,Phase B (Dynamic Injection),Scan-NonIntersect,5000,258.8984,274.18,38.55800000000002,531.4087999999999,618.3878,615.709,12.025999999999954,814.0332000000001,3123.7264,275.9136,500000,100.0,2.7591360000000003
Native-T512,2,Phase C (Post-Injection Read-Dominant),GetLive,80000,9.3846,9.322,0.5700000000000003,26.931400000000004,39.3254,39.676,1.605000000000004,54.54780000000001,388.50579999999997,11.909299999999998,0,0.0,0.0
Native-T512,2,Phase C (Post-Injection Read-Dominant),Put,10000,14.077800000000002,14.014,0.588000000000001,33.52139999999999,204.14520000000002,48.184,18.128,502.73,626.322,20.70792,0,0.0,0.0
Native-T512,2,Phase C (Post-Injection Read-Dominant),Scan-Intersect,5000,66.444,66.421,3.2079999999999984,186.02100000000002,278.8534,284.48,22.137999999999977,364.7382,994.0255999999999,84.47189999999999,250000,50.0,1.6894379999999998
Native-T512,2,Phase C (Post-Injection Read-Dominant),Scan-NonIntersect,5000,79.2722,79.924,2.561000000000007,196.14339999999999,277.4044,280.398,13.310999999999979,359.5034,1445.7720000000002,94.8607,500000,100.0,0.948607
