elapsed_sec,event_type,job_id,reason,input_level,output_level,sst_path,num_range_deletions,data_size,num_entries,dropped_records
324.66,flush,1158,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001473.sst,0,62807974,60113,0
325.63,compaction,1159,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001475.sst,0,248818182,236369,563
325.64,flush,1160,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001478.sst,0,63556563,60829,0
326.35,flush,1163,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001481.sst,0,61211880,58585,0
327.18,flush,1165,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001484.sst,0,64018679,61272,0
328.08,flush,1169,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001487.sst,0,64787832,62008,0
328.82,flush,1171,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001491.sst,0,63652000,60920,0
329.14,compaction,1170,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001489.sst,0,254836572,242079,615
329.62,flush,1175,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001494.sst,0,57616803,55144,0
330.50,flush,1178,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001498.sst,0,64341461,61581,0
331.41,flush,1181,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001501.sst,0,63001285,60298,0
332.19,flush,1185,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001506.sst,0,59251480,56708,0
