config_name,rep,generation,is_active_generation,job_id,flush_completion_time,time_micros,flush_reason,generation_range_deletions,cumulative_flushed_range_deletions,pre_flush_logical_bytes,output_sst_bytes,window
Native-T512,3,2,False,6,2026-09-07 22:36:07.677735,1788791767677735,Memtable Max Range Deletions,513,1025,231815,51706,foreground
Native-T512,3,3,False,7,2026-09-07 22:36:07.701005,1788791767701005,Memtable Max Range Deletions,513,1538,244833,53274,foreground
Native-T512,3,4,False,8,2026-09-07 22:36:07.725793,1788791767725793,Memtable Max Range Deletions,514,2052,236951,52191,foreground
Native-T512,3,5,False,9,2026-09-07 22:36:07.752350,1788791767752350,Memtable Max Range Deletions,512,2564,238848,52341,foreground
Native-T512,3,6,False,11,2026-09-07 22:36:07.780722,1788791767780722,Memtable Max Range Deletions,512,3076,232905,51706,foreground
Native-T512,3,7,False,12,2026-09-07 22:36:07.805644,1788791767805644,Memtable Max Range Deletions,512,3588,234037,51808,foreground
Native-T512,3,8,False,13,2026-09-07 22:36:07.839855,1788791767839855,Memtable Max Range Deletions,512,4100,257526,54647,foreground
Native-T512,3,9,False,16,2026-09-07 22:36:07.866159,1788791767866159,Memtable Max Range Deletions,512,4612,237716,52326,foreground
Native-T512,3,10,False,18,2026-09-07 22:36:07.893539,1788791767893539,Memtable Max Range Deletions,512,5124,247338,53478,foreground
Native-T512,3,11,False,19,2026-09-07 22:36:07.924703,1788791767924703,Memtable Max Range Deletions,512,5636,219321,50161,foreground
Native-T512,3,12,False,21,2026-09-07 22:36:07.953081,1788791767953081,Memtable Max Range Deletions,512,6148,247338,53377,foreground
Native-T512,3,13,False,25,2026-09-07 22:36:07.994509,1788791767994509,Memtable Max Range Deletions,513,6661,237192,52325,foreground
Native-T512,3,14,False,27,2026-09-07 22:36:08.031382,1788791768031382,Memtable Max Range Deletions,514,7175,243460,53062,foreground
Native-T512,3,15,False,29,2026-09-07 22:36:08.075418,1788791768075418,Memtable Max Range Deletions,513,7688,244833,53303,foreground
