exp_id,elapsed_sec,total_ops,overall_iops,put_count,put_p50_us,put_p95_us,put_p99_us,put_mean_us,get_aff_live_count,get_aff_live_p50_us,get_aff_live_p95_us,get_aff_live_p99_us,get_aff_live_mean_us,get_del_count,get_del_p50_us,get_del_p95_us,get_del_p99_us,get_del_mean_us,get_ctrl_count,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_ctrl_mean_us,scan_count,scan_ops_sec,scan_keys_sec,scan_avg_span,scan_avg_keys_returned,scan_p50_us,scan_p95_us,scan_p99_us,scan_mean_us,scan_us_per_key,del_range_count,del_range_p50_us,del_range_p95_us,del_range_p99_us,del_range_mean_us,tombstones_count,union_deleted_keys,union_coverage_ratio,overlap_factor,compaction_read_mb,compaction_write_mb,flush_write_mb,stall_micros,compaction_drop_keys,l0_files_final,pending_compact_mb,total_sst_mb,sample_verified_ok,sample_verified_notfound,full_scan_ok
p4_locality_medium_rep1,18.0049,200000,11108.1,10071,52.177,114.835,187.49,53.2868,847,14.994,1648.71,3492.51,216.663,10482,9.373,5637.54,11650.7,665.656,134655,10.793,4728.45,10863.7,578.728,39940,2218.29,206061.0,100.0,92.8917,357.826,5225.09,11860.7,1056.08,11.3689,4005,115.762,191.391,277.642,112.643,4005,100088,0.200176,8.00296,0.0,0.0,0.0,0,0,0,0,114.527,8050,1950,PASS
p4_locality_medium_rep2,18.0054,200000,11107.8,10071,53.873,112.758,193.426,60.9969,851,15.479,1452.46,2714.09,165.531,10471,10.283,5090.72,9777.54,613.28,134662,11.558,4496.29,9479.91,541.555,39940,2218.22,206061.0,100.0,92.8944,398.541,5343.34,10443.6,1061.93,11.4316,4005,115.922,192.597,275.846,116.327,4005,100088,0.200176,8.00296,0.0,0.0,0.0,0,0,0,0,114.524,8050,1950,PASS
p4_locality_medium_rep3,17.005,200000,11761.2,10071,42.474,100.621,166.09,49.9596,857,11.518,390.176,2857.34,144.812,10458,8.418,4364.11,9777.08,522.078,134669,7.855,3435.04,9368.45,450.236,39940,2348.72,218194.0,100.0,92.8991,266.591,3971.04,10097.3,841.718,9.06056,4005,99.175,180.411,235.418,98.8547,4005,100088,0.200176,8.00296,0.0,0.0,0.0,0,0,0,0,114.528,8049,1951,PASS
p4_locality_hot_rep1,17.005,200000,11761.2,10071,52.264,104.986,157.342,51.3929,63542,5.873,5350.65,11593.5,615.517,59710,6.968,5702.66,11765.6,679.482,22729,23.664,4086.53,10846.9,503.792,39940,2348.72,124872.0,100.0,53.166,230.134,5692.21,12127.3,931.628,17.523,4005,106.793,167.581,233.763,101.866,4005,100089,0.200178,8.00288,0.0,0.0,0.0,0,0,0,0,114.509,8110,1890,PASS
p4_locality_hot_rep2,17.0042,200000,11761.8,10071,52.2,116.886,191.882,57.0257,62761,6.1,5117.44,10279.4,579.882,59873,7.714,5476.13,10460.9,639.18,23350,22.103,3694.0,9476.98,466.776,39940,2348.82,124566.0,100.0,53.0332,229.117,5592.59,10496.6,905.346,17.0713,4005,111.42,188.655,265.179,108.919,4005,100089,0.200178,8.00288,0.0,0.0,0.0,0,0,0,0,114.525,8107,1893,PASS
p4_locality_hot_rep3,16.0043,200000,12496.6,10071,39.191,99.319,154.948,45.5884,63794,5.192,3652.43,10503.9,475.018,59389,6.356,4021.41,10442.7,507.863,22800,17.46,2098.38,9600.86,378.896,39940,2495.57,134091.0,100.0,53.7317,175.598,4177.59,10970.8,755.929,14.0686,4005,98.788,163.524,227.888,94.0371,4005,100089,0.200178,8.00288,0.0,0.0,0.0,0,0,0,0,114.526,8112,1888,PASS
p5_compaction_high_heat_rep1,6.07986,200000,32895.5,10026,36.214,109.361,178.912,45.7746,57435,5.12,1597.09,3226.62,173.212,62805,6.384,1832.0,3297.89,193.564,25708,16.21,598.986,2951.35,136.252,40007,6580.25,318243.0,100.0,48.3633,142.412,1885.62,3628.73,376.482,7.78445,4019,92.963,174.871,260.669,93.1814,4019,100091,0.200182,8.03069,42.9062,104.96,16.6557,0,98433,0,0,104.96,8101,1899,PASS
p5_compaction_high_heat_rep2,6.04734,200000,33072.4,10026,39.327,109.312,173.943,46.4787,55468,5.12,1553.99,3036.37,168.549,63138,6.342,1668.51,3117.79,176.866,27342,15.242,561.492,2868.74,131.495,40007,6615.64,314774.0,100.0,47.5802,144.067,1838.95,3396.58,371.198,7.80151,4019,97.198,181.435,262.604,96.668,4019,100091,0.200182,8.03069,44.271,105.038,16.6378,0,98176,0,0,105.038,8112,1888,PASS
p5_compaction_high_heat_rep3,6.56525,200000,30463.4,10026,41.423,112.756,180.199,48.8516,58233,5.653,1751.75,3209.08,186.279,61893,6.696,1823.33,3336.47,195.126,25822,17.199,718.166,3018.38,145.339,40007,6093.76,303620.0,100.0,49.8248,171.222,2120.62,3711.99,430.411,8.63849,4019,101.029,187.962,280.086,104.512,4019,100091,0.200182,8.03069,42.3245,105.026,16.6724,0,98220,0,0,105.026,8105,1895,PASS
p5_compaction_low_heat_rep1,6.21444,200000,32183.1,10026,33.729,99.368,153.186,41.7708,56742,4.944,1600.14,3149.52,172.289,62190,6.056,1735.59,3187.95,182.634,27016,15.235,599.758,2908.01,128.669,40007,6437.75,316562.0,100.0,49.1727,142.236,1817.23,3364.17,362.624,7.3745,4019,88.452,149.969,208.109,88.3808,4019,100091,0.200182,8.03069,42.7749,105.028,16.662,0,98214,0,0,105.028,8107,1893,PASS
