config,phase,op_name,sample_count_per_rep,total_sample_count_5reps,metric,unit,rep1_raw,rep2_raw,rep3_raw,rep4_raw,rep5_raw,mean,sample_std,median,iqr,quantile_algorithm
AMTV-T512,Phase C,Scan-Intersect,5000,25000,P50,us,64.939,69.838,85.258,68.369,76.732,73.0272,8.071660529283921,69.838,8.363,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Scan-Intersect,5000,25000,P95,us,153.954,269.804,138.171,149.747,139.005,170.13619999999997,56.1297137325677,149.747,14.949000000000012,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Scan-Intersect,5000,25000,P99,us,213.794,338.667,168.965,206.339,188.023,223.1576,66.8659887596078,206.339,25.771000000000015,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Scan-Intersect,5000,25000,P99.9,us,311.987,471.77,242.264,269.229,284.404,315.93080000000003,90.69620234442012,284.404,42.75800000000004,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Scan-Intersect,5000,25000,Max,us,596.629,637.099,290.343,377.887,360.08,452.4076,154.31571984992328,377.887,236.54900000000004,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Scan-Intersect,5000,25000,Mean,us,77.6637,101.513,90.1689,79.8651,86.2727,87.09667999999999,9.47661097238881,86.2727,10.303799999999995,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Scan-NonIntersect,5000,25000,P50,us,76.511,77.909,88.118,80.293,86.414,81.849,5.161844776821556,80.293,8.504999999999995,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Scan-NonIntersect,5000,25000,P95,us,141.715,252.555,122.283,132.805,126.643,155.2002,54.9099453942544,132.805,15.072000000000003,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Scan-NonIntersect,5000,25000,P99,us,182.441,300.621,161.846,171.174,185.401,200.29659999999998,56.86004980915862,182.441,14.227000000000004,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Scan-NonIntersect,5000,25000,P99.9,us,240.415,446.386,208.38,256.376,246.336,279.5786,94.96205558432274,246.336,15.960999999999984,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Scan-NonIntersect,5000,25000,Max,us,3107.85,7293.65,279.189,3047.27,323.885,2810.3688,2865.043648392586,3047.27,2783.965,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Scan-NonIntersect,5000,25000,Mean,us,84.615,111.895,92.6384,85.5106,90.1766,92.96712,11.085094711007208,90.1766,7.127800000000008,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Put,10000,50000,P50,us,13.84,15.845,13.522,13.684,13.06,13.990199999999998,1.0771588555083231,13.684,0.3179999999999996,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Put,10000,50000,P95,us,27.869,521.007,26.639,26.961,25.897,125.67460000000001,220.99866302491515,26.961,1.2300000000000004,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Put,10000,50000,P99,us,37.9,1129.45,34.672,36.587,33.543,254.43040000000002,489.15372309765775,36.587,3.2280000000000015,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Put,10000,50000,P99.9,us,52.107,1173.82,49.977,52.866,45.112,274.7764,502.5897404676104,52.107,2.889000000000003,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Put,10000,50000,Max,us,110.417,1204.13,114.074,265.885,80.714,355.044,480.1203551209843,114.074,155.468,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase C,Put,10000,50000,Mean,us,15.7246,68.1812,15.1464,15.5837,14.5496,25.8371,23.67549574644637,15.5837,0.5782000000000007,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
