exp_id,rep,phase,worker_id,op_class,op_count,total_latency_ms,p50_us,p95_us,p99_us,materialized_ops,materialization_rate_per_1k,lock_contended_ops,both_count,materialization_or_lock_affected_reads,affected_p50_us,affected_p95_us,affected_p99_us,view_materialization_ms,lock_wait_ms,materialization_and_lock_ratio,active_mem_prep_ms,active_mem_lookup_ms,imm_mem_prep_ms,imm_mem_lookup_ms,active_mem_iter_construct_ms,imm_mem_iter_construct_ms,sst_iter_construct_ms,reseek_count,boundary_advance_count,child_next_count,covered_skip_count,cache_invalidation_count
e9_v2a_r3,3,1,7,ScanNonIntersect,407,82.9393,161.69,470.01,919.22,75,184.2752,168,0,243,206.54,543.25,1189.94,9.9573,22.4397,0.39061,0.0,0.0,0.0,0.0,33.3537,0.1299,3.109,4,4,0,0,0
e9_v2a_r3,3,1,7,Put,8000,208.193,18.47,69.31,106.18,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_v2a_r3,3,1,7,DeleteRange,750,41.38,47.37,108.26,157.44,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,750
e9_v2a_r3,3,2,0,GetLive,5092,237.7467,19.66,164.76,642.14,133,26.1194,666,0,799,117.56,684.74,802.07,23.6324,104.1373,0.53742,132.6934,3.0779,0.1071,0.39,0.0,0.0,0.0,0,0,0,0,0
e9_v2a_r3,3,2,0,GetDeleted,2408,74.2846,9.19,130.63,450.76,73,30.3156,272,0,345,96.78,520.69,753.99,11.6839,37.6936,0.664707,51.5385,1.423,0.0485,0.1737,0.0,0.0,0.0,0,0,0,0,0
e9_v2a_r3,3,2,0,ScanIntersect,2475,416.6651,138.46,327.34,714.41,80,32.3232,314,0,394,249.67,757.66,949.22,12.5918,47.4482,0.144096,0.0,0.0,0.0,0.0,64.4113,0.5418,27.4584,4814,3398,17,17,0
e9_v2a_r3,3,2,0,ScanNonIntersect,25,5.665,225.78,364.84,408.62,3,120.0,4,0,7,277.43,408.62,408.62,0.3617,0.4578,0.144656,0.0,0.0,0.0,0.0,0.875,0.0071,0.2884,0,0,0,0,0
e9_v2a_r3,3,2,0,Put,2150,49.9726,16.49,59.78,103.95,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_v2a_r3,3,2,0,DeleteRange,350,23.5557,60.77,113.5,158.78,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,350
e9_v2a_r3,3,2,1,GetLive,5128,233.1133,21.19,156.77,555.23,122,23.791,684,0,806,111.59,642.92,772.03,16.9819,102.08,0.510747,123.6748,3.1345,0.113,0.4408,0.0,0.0,0.0,0,0,0,0,0
e9_v2a_r3,3,2,1,GetDeleted,2372,83.2822,9.93,148.9,613.99,55,23.1872,302,0,357,105.35,688.07,772.03,7.3864,50.2602,0.692184,59.7407,1.4711,0.0473,0.2048,0.0,0.0,0.0,0,0,0,0,0
e9_v2a_r3,3,2,1,ScanIntersect,2458,410.4564,140.74,342.35,770.62,68,27.6648,327,0,395,234.28,843.95,978.42,9.4782,49.2943,0.143188,0.0,0.0,0.0,0.0,63.0575,0.5498,27.3143,4073,2974,13,13,0
e9_v2a_r3,3,2,1,ScanNonIntersect,42,9.5406,198.68,405.16,564.73,3,71.4286,6,0,9,271.78,564.73,564.73,0.4542,0.8133,0.132848,0.0,0.0,0.0,0.0,1.3601,0.0063,0.5822,0,0,0,0,0
e9_v2a_r3,3,2,1,Put,2150,50.4949,16.8,61.77,101.22,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
